buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol,priceToVol,priceToVol5M,score,highHolder,lowLP,mutable,unlockedLP,singleHolder,highOwnership,result
636,2253,223,774,3883.85,55975.45,6.65,1160364.0,96890.1,3291820134.0,0,0,0,0,0,1,2.9108527131782944,0.5777210468355384,1.7004407203738185e-05,2.943359480648951e-05,43.00492676431425,1461083.0599201065,1.0320971905282375e-05,0.040249788076737215,20.729873542776343,0.0017122185460303565,3500,2900,500,100,0,0,0,R25
161,454,27,48,30664.55,185567.82,7.88,2225559.0,309622.49,1681226700.0,0,0,0,0,0,1,9.458333333333334,0.5993357265488047,0.00011037644120212938,0.0001841646281254039,681.9878634361233,3703142.511013216,3.2297395450827877e-06,0.002446544880464727,11.993237836172241,0.0002569742585493673,3500,3000,500,0,0,0,0,R
226,695,20,63,8894.19,197145.43,7.1,1964536.0,373631.48,1650902943.0,0,0,0,0,10,1,11.031746031746032,0.5276467336210535,0.00011941672939400653,0.0002263194705565438,537.5992517985611,2375399.9179856116,2.6764340092542525e-06,0.0035253163109081453,9.964907631893876,0.0007982739293853627,500,0,500,0,0,0,0,R
217,737,17,66,9474.75,198465.28,9.12,1928820.0,376488.4,1677893062.0,0,0,0,0,10,1,11.166666666666666,0.5271484592885198,0.00011828243676234952,0.0002243816417902323,510.83907734056993,2276652.7299864315,2.6561243321175364e-06,0.003713495882000116,9.71867724168177,0.0009625583788490461,500,0,500,0,0,0,0,R2
108,435,69,186,7154.77,246753.63,4.26,3712440.0,481893.72,4125415100.0,0,0,0,0,0,1,2.338709677419355,0.5120498976413306,5.981304281355833e-05,0.00011681096527716689,1107.8016551724138,9483712.873563219,2.0751463621480686e-06,0.0017628919987924796,15.04512821148771,0.0005954069802383584,500,0,500,0,0,0,0,R25
115,386,58,155,8730.77,203864.09,7.31,2900322.0,398204.96,2808819578.0,0,0,0,0,0,1,2.490322580645161,0.5119576863130987,7.257998754948866e-05,0.0001417695045701508,1031.619067357513,7276734.658031088,2.5112695733373085e-06,0.0018934183062843486,14.22674292466123,0.0008372686486987974,500,0,500,0,0,0,0,R2
16,85,2,11,11518.55,32788.49,5.96,18.63,783252.64,427169.0,0,0,0,0,0,1,7.7272727272727275,0.04186195912470847,0.07675765329412948,1.833589609732916,9214.73694117647,5025.517647058824,1.2767272638876773e-06,0.002592373116297823,0.0005681871900779816,0.0005174262385456503,11499,0,400,100,10999,0,0,R25
249,673,21,57,11411.94,201302.56,7.94,2015089.0,380444.04,1725782020.0,0,0,0,0,10,1,11.807017543859649,0.529125282130849,0.0001166442561500322,0.00022044733088597132,565.295750371471,2564312.0653789006,2.6285074672217236e-06,0.003343226236169078,10.010250242222453,0.0006957625083903351,500,0,500,0,0,0,0,R2
227,659,20,59,9528.12,191453.65,6.59,1794362.0,357383.15,1526729047.0,0,0,0,0,10,1,11.169491525423728,0.5357097837433018,0.00012540119700755258,0.00023408420158262702,542.3113050075873,2316736.0349013656,2.798117370670665e-06,0.003442086374430574,9.372304993924118,0.0006916369651095913,500,0,500,0,0,0,0,R2
475,1702,242,857,2454.95,38833.11,12.86,1017509.0,74699.27,1991378037.0,0,0,0,0,0,1,1.985997666277713,0.5198592971524353,1.9500621819904103e-05,3.751134571742794e-05,43.88911280846064,1170022.348413631,1.338701168030156e-05,0.04382857824160877,26.202099188038247,0.005238395894010061,3500,2900,500,100,0,0,0,R2
122,539,68,203,4020.83,248861.31,2.0,3524208.0,486032.72,4261491934.0,0,0,0,0,0,1,2.6551724137931036,0.5120258364498588,5.8397695890136114e-05,0.00011405224450203078,901.7304638218924,7906293.012987013,2.0574746490318595e-06,0.0021658649952457456,14.161333475259774,0.0004974097387852757,500,0,500,0,0,0,0,R25
88,377,53,169,5534.73,242693.38,3.59,3714994.0,472784.26,4060447020.0,0,0,0,0,0,1,2.230769230769231,0.5133279606220393,5.9770113685660155e-05,0.00011643650506244015,1254.0696551724138,10770416.49867374,2.1151296365069346e-06,0.0015534004264970063,15.30735613802074,0.0006486314598905458,500,0,500,0,0,0,0,R25
123,417,58,177,7314.39,244437.67,4.22,3744852.0,478841.71,4103436792.0,0,0,0,0,0,1,2.3559322033898304,0.5104769799606639,5.9569010658712253e-05,0.00011669284413824596,1148.3014628297362,9840376.0,2.088372794425114e-06,0.001705956369163558,15.32027367140261,0.0005769448990278068,500,0,500,0,0,0,0,R2
273,711,24,64,9932.42,193577.87,6.69,1830354.0,361756.62,1562414113.0,0,0,0,0,0,1,11.109375,0.5351052594421077,0.0001238966471112515,0.00023153696384973707,508.79974683544305,2197488.2039381154,2.7642894275162126e-06,0.003672940507094122,9.455388676401904,0.000673551863493489,500,0,500,0,0,0,0,R
93,402,53,167,5424.66,258879.2,2.7,4168785.0,505662.47,4587055092.0,0,0,0,0,0,1,2.407185628742515,0.5119604783008714,5.643690664441665e-05,0.00011023684256199467,1257.86684079602,11410584.80597015,1.977603756118187e-06,0.0015528478147336672,16.103205665036047,0.0004977270464877062,500,0,500,0,0,0,0,R2
241,708,25,64,9991.11,186926.61,6.79,1808068.0,354901.95,1502606126.0,0,0,0,0,10,1,11.0625,0.5266993038499788,0.00012440160249952288,0.00023619093777074086,501.2739406779661,2122325.036723164,2.8176796436311493e-06,0.0037875827309980107,9.672608945296767,0.0006796041681054457,500,0,500,0,0,0,0,R2
