Item Name,Result,Liquidity,Market Cap,Price 5M,Price 1H,TXNS,Volume,Makers,Buys,Buy Vol,Buyers,Sells,Sell Vol,Sellers,Pooled Coin,Pooled SOL,Rockets,Red Flags
PEPECLUB,Failure,65000,10600000,27.48,55513,3585,688000,439,2213,360000,439,1372,328000,87,34000,34000,0,0
LEGOHAWK,Failure,34000,84000,-14.5,-0.74,623,58000,335,353,29000,283,270,29000,198,17000,17000,18,1
ACCX,Failure,63000,267000,13.64,148,4816,974000,1926,2703,494000,1867,2113,479000,1297,31000,31000,11,1
OPTIAI,Failure,18000,105000,17.28,2466,4251,238000,3386,3652,123000,3356,599,115000,351,9200,9200,10,44
RPC,Failure,7300,3800,-9.9,-95.38,63,14000,44,36,634,35,27,14000,25,3600,3600,0,0
GRAI,Failure,28000,58000,29.2,-35.55,625,68000,303,311,32000,265,314,35000,222,14000,14000,1,0
HAILUO AI,Failure,7500,4000,0.74,-95.12,167,29000,122,68,7900,66,99,21000,96,3900,3900,0,1
MEWO,Failure,99000,22000000,9.17,67742,3271,712000,659,2341,381000,659,930,331000,55,49000,49000,0,0
DUNE,Failure,8100,4600,-6.38,-93.82,497,59000,327,186,23000,170,311,36000,285,4000,4000,1,0
ONE,Failure,21000,9800000,-25.38,4354,6605,345000,232,3308,177000,232,3297,167000,208,10000,10000,0,0
