buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,dayOfWeek,time,result,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol
18,582,43,669,2218.91,170125.31,-19.8,-84.99,14805.82,13412.0,0,0,0,0,0,2,3,368,Failure,0.8699551569506726,11.490434842514633,12.684559349835968,1.1039233522218908,25.43955326460481,23.0446735395189,0.00013508201504543483,0.0034210077265987055
1233,3880,1247,3912,102980.35,421704.45,172.0,4616.0,27329.76,72119154.0,0,0,0,0,0,1,3,369,Failure,0.9918200408997955,15.430228805521894,0.005847329407108686,0.00037895286458851135,7.043752577319587,18587.410824742266,3.6590149346353576e-05,0.009200756596237009
157,651,132,399,217267.13,538919.88,-80.87,199.0,94496.56,569797.0,0,0,0,0,0,1,3,371,Failure,1.631578947368421,5.703063476596397,0.9458103149016228,0.16584250180327378,145.15600614439325,875.2642089093702,1.0582395803614438e-05,0.0012079717675287838
27,613,91,719,5373.32,120967.99,-26.3,-78.97,16810.06,17397.0,1,0,1,0,0,2,3,372,Failure,0.8525730180806675,7.196166462225595,6.953382192332011,0.9662619991952637,27.422610114192498,28.380097879282218,0.00011897637486124379,0.005067456275002998
12,85,1,2,1204.26,4682.66,0.84,3.91,448611.51,229235.0,0,0,0,0,0,1,3,373,Failure,42.5,0.010438118272979665,0.020427334394834993,1.9569939581652016,5277.782470588236,2696.8823529411766,2.2291001851468324e-06,0.018152075956827957
879,2819,915,2831,205082.57,678811.07,5.14,213.0,82023.44,403126.0,1,1,0,1,500,2,3,374,Failure,0.9957612151183327,8.275818107604362,1.68386824466792,0.20346849372156597,29.096644200070948,143.003192621497,2.4383273854400643e-05,0.004152849186740576
1,95,1,2,44890.72,83289.06,-84.77,89.8,61045.88,52958.0,0,0,0,0,0,1,3,374,Failure,47.5,1.3643682423777002,1.5727380188073568,1.152722534838929,642.5882105263157,557.4526315789474,1.6381121870960007e-05,0.001140605981145663
29,329,28,317,2554.15,81436.14,2.12,-42.41,29470.53,53982.0,0,0,0,0,0,2,3,375,Failure,1.0378548895899053,2.763307616116846,1.5085795265088362,0.5459325330665777,89.57607902735562,164.0790273556231,6.786440556040221e-05,0.004039975372113659
5,39,5,41,1378.05,5244.84,-16.26,-22.12,12165.44,2382167.0,1,0,1,1,2000,7,3,378,Success,0.9512195121951219,0.43112620669700397,0.0022017096198545276,0.005106879576452869,311.934358974359,61081.205128205125,0.0005754004787331983,0.007435879836181847
97,711,95,472,42503.92,229105.49,-14.87,-8.87,38068.61,88344.0,1,0,1,1,0,2,3,379,Failure,1.50635593220339,6.018225777090364,2.5933338993027255,0.4309133614054152,53.542348804500705,124.25316455696202,5.253672251232709e-05,0.003103373908674122
142,723,119,597,46323.5,232393.76,-19.84,20.71,42000.57,107558.0,0,0,0,0,0,2,3,379,Failure,1.2110552763819096,5.533109669702102,2.160636679744882,0.3904922925305417,58.09207468879668,148.76625172890732,4.761840136931475e-05,0.0031110990243455763
28,133,3,10,53511.88,163388.27,14.9,58.92,1556071.11,982639.0,0,0,0,0,0,1,3,380,Failure,13.3,0.10500051633244446,0.16627496974982672,1.5835633533779956,11699.782781954887,7388.263157894737,6.426441526827138e-07,0.000814011923866995
255,936,261,890,53485.62,274314.12,-63.14,1686.0,20085.04,7935641.0,0,0,0,0,0,1,3,381,Failure,1.051685393258427,13.657633741331857,0.03456735505046158,0.0025309915103266393,21.45837606837607,8478.248931623932,4.978830014777167e-05,0.0034121466295646756
170,1294,169,1204,41548.77,373012.51,-34.24,-23.98,34598.07,71476.0,0,0,0,0,0,2,3,381,Failure,1.0747508305647842,10.78130976670086,5.218709916615367,0.4840515697576809,26.737302936630602,55.23647604327666,5.780669268545904e-05,0.003469052552687844
28,126,0,4,5117.06,41957.73,4.79,46.11,440724.13,272364.0,0,0,0,0,0,1,3,382,Success,31.5,0.09520179891216758,0.1540502048728907,1.6181438442672307,3497.8105555555558,2161.6190476190477,2.2689930773701906e-06,0.0030030223274710045
261,821,147,414,247931.88,780613.7,-15.38,170911.0,145136.56,202271672.0,0,0,0,0,0,1,3,382,Failure,1.9830917874396135,5.37847734574941,0.0038592339316797656,0.0007175328040992314,176.78021924482337,246372.31668696713,6.890062710594767e-06,0.0010517366015994852
31,128,5,13,36289.39,106414.2,18.02,69.95,868358.78,565564.0,0,0,0,0,0,1,3,383,Failure,9.846153846153847,0.1225463511752596,0.1881558939395011,1.5353855266601129,6784.05296875,4418.46875,1.151597730145597e-06,0.001202846988465825
34,151,4,9,16886.23,63097.82,6.4,24.7,1104087.95,623658.0,0,0,0,0,0,1,3,383,Failure,16.77777777777778,0.05714926967548192,0.10117375228089755,1.770341998338833,7311.840728476821,4130.185430463576,9.05724947002637e-07,0.0023931096193180682
167,745,181,635,24773.75,112994.8,-11.15,-0.76,38722.58,92500.0,1,0,1,1,500,2,3,385,Failure,1.1732283464566928,2.9180596954025275,1.2215654054054055,0.4186224864864865,51.97661744966443,124.16107382550335,5.164945104380958e-05,0.006593223758969439
80,289,76,198,79000.41,251974.78,-14.59,263979.0,178719.15,312672726.0,0,0,0,0,0,1,3,388,Failure,1.4595959595959596,1.4098924485708444,0.0008058738708153266,0.0005715853515154372,618.4053633217993,1081912.5467128027,5.5953712850581486e-06,0.0011469401818705826
5,61,2,10,474.65,2144.38,-0.19,1.51,344377.19,174326.0,0,0,0,0,0,1,3,464,Success,6.1,0.006226835174536386,0.012300976331700379,1.9754780698232048,5645.527704918033,2857.8032786885246,2.9037927860436984e-06,0.028446450722353314
35,518,51,509,11053.28,125916.43,11.54,-66.57,22687.42,31736.0,0,0,0,0,0,2,3,464,Failure,1.0176817288801572,5.550055052535723,3.9676213133350138,0.7148796319637005,43.7981081081081,61.26640926640927,8.815458082056048e-05,0.0041138396315715114
18,50,2,2,4133.83,16593.37,29.94,865.0,211775.27,4814745.0,0,0,0,0,0,1,3,466,Failure,25.0,0.0783536717955784,0.0034463652799888674,0.04398473231708013,4235.5054,96294.9,4.721986660671003e-06,0.0030132516782305223
0,113,1,119,0.26,26611.8,-0.28,-95.24,8442.17,4461.0,0,0,0,0,0,2,3,467,Failure,0.9495798319327731,3.152246401103034,5.965433759246806,1.8924389150414704,74.70946902654867,39.47787610619469,0.00023690591400078417,0.004246236631870073
15,1047,55,919,2602.87,422199.61,-39.16,-92.47,13047.29,10372.0,0,0,0,0,0,2,3,468,Failure,1.1392818280739934,32.359180335533274,40.7057086386425,1.2579338603933667,12.461595033428845,9.90639923591213,0.00015328853731311253,0.0024798696521770827
3,25,0,14,25.72,1005.63,6.61,455.0,1610.02,5363.0,0,0,0,0,0,1,3,469,Success,1.7857142857142858,0.6246071477372952,0.18751258623904532,0.3002088383367518,64.4008,214.52,0.0006211102967664999,0.024860037986138044
8,22,5,27,224.92,1351.55,4.46,-4.7,3470.31,15333263.0,1,0,0,1,0,12,3,469,Failure,0.8148148148148148,0.3894608838979803,8.814496953453416e-05,0.00022632560336309369,157.74136363636364,696966.5,0.0034579043370765146,0.016277607191742816
44,540,141,739,19715.03,172528.54,-75.31,-71.82,21976.91,29795.0,0,0,0,0,0,2,3,470,Success,0.7307171853856563,7.850445763303394,5.790519885886894,0.7376039603960396,40.697981481481484,55.175925925925924,9.10046043779585e-05,0.0031299169401190086
6,32,1,2,1264.8,5380.39,28.24,257.0,87323.62,1790135.0,0,0,0,0,0,1,3,471,Failure,16.0,0.06161437191907528,0.003005577791619068,0.04878046627768297,2728.863125,55941.71875,1.1451655348232242e-05,0.005947524250100829
4,18,0,1,2101.1,6650.88,22.15,261.0,89026.64,1807166.0,0,0,0,0,0,1,3,471,Success,18.0,0.07470662713992127,0.003680281722874379,0.04926312248017061,4945.924444444445,100398.11111111111,1.1232592850859023e-05,0.0027064087759815243
5,17,0,1,2441.74,6492.55,45.44,300.0,96452.17,1998529.0,0,0,0,0,0,1,3,472,Failure,17.0,0.06731367474676828,0.003248664392660802,0.048261581393114636,5673.657058823529,117560.5294117647,1.0367833092816886e-05,0.0026183856882118733
897,4546,575,2693,442374.27,2944775.33,7.95,2843.0,221586.39,2862180.0,1,1,1,1,0,4,3,473,Failure,1.688080207946528,13.289513539166371,1.0288574897455787,0.07741874724860072,48.74315662120546,629.6040475142983,1.8051650193858928e-05,0.0015437510473846573
299,948,285,844,2553.86,70056.58,16.47,3649.0,31027.39,97475.0,0,0,0,0,0,1,3,475,Success,1.1232227488151658,2.2578947181828704,0.7187133111054117,0.3183112592972557,32.72931434599156,102.82172995780591,3.222958811553276e-05,0.013531919485650027
9,233,14,322,2588.99,48560.87,-0.15,-49.5,27841.85,48372.0,0,0,0,0,0,2,3,475,Failure,0.7236024844720497,1.7441682215801035,1.0039045315471762,0.57557781361118,119.49291845493562,207.60515021459227,7.183430698750263e-05,0.00479810184619839
4,19,0,1,2203.09,6564.37,36.03,307.0,97365.86,2021514.0,0,0,0,0,0,1,3,477,Failure,19.0,0.06741962737246916,0.003247254285649271,0.0481648210202848,5124.518947368421,106395.47368421052,1.0270540413241356e-05,0.002894413325269599
6,18,0,1,2153.01,6167.28,25.04,245.0,83990.26,1715947.0,0,0,0,0,0,1,3,477,Failure,18.0,0.07342851421105256,0.003594097020479071,0.04894688472312956,4666.125555555555,95330.38888888889,1.1906142450326978e-05,0.002918628633692649
135,645,161,485,163708.4,605755.18,-70.53,221.0,105003.41,778514.0,0,0,0,0,0,1,3,477,Failure,1.3298969072164948,5.768909600173938,0.7780915693230951,0.13487671384201183,162.79598449612405,1206.9984496124032,9.523500236801833e-06,0.0010647866024026404
